experiment,replicate,learner,learner_label,learner_model,quality_metric,quality_value,tuned_params,validation_score,n_train,n_inference
a_mean,0,dt,DT,Decision Tree Classifier,Brier,0.12660272297333197,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.1270887984161822,4794,19176
a_mean,0,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.1201277014887774,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.12131292680100315,4794,19176
a_mean,0,lin,LIN,Logistic Regression,Brier,0.11915602446267817,"{""model__C"": 10.0}",0.12098430728024666,4794,19176
a_mean,0,rf,RF,Random Forest Classifier,Brier,0.11987127258420693,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12000681874432424,4794,19176
a_mean,1,dt,DT,Decision Tree Classifier,Brier,0.12509754029678216,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.11730580869279465,4794,19176
a_mean,1,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11906165270384395,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.11636375894689267,4794,19176
a_mean,1,lin,LIN,Logistic Regression,Brier,0.11814469372539274,"{""model__C"": 1.0}",0.11558631231150722,4794,19176
a_mean,1,rf,RF,Random Forest Classifier,Brier,0.11987090312327328,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.112697411005941,4794,19176
a_mean,2,dt,DT,Decision Tree Classifier,Brier,0.12640538079505406,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 50}",0.13344198564059448,4794,19176
a_mean,2,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11938328070115985,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.129815723217681,4794,19176
a_mean,2,lin,LIN,Logistic Regression,Brier,0.11933563551390382,"{""model__C"": 1.0}",0.12717577100961608,4794,19176
a_mean,2,rf,RF,Random Forest Classifier,Brier,0.1201681051536176,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.12753233068272155,4794,19176
a_mean,3,dt,DT,Decision Tree Classifier,Brier,0.13058957742892127,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10}",0.12332689455951876,4794,19176
a_mean,3,gb,GB,Histogram Gradient Boosting Classifier,Brier,0.11783237057588011,"{""model__learning_rate"": 0.1, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.1114515049124893,4794,19176
a_mean,3,lin,LIN,Logistic Regression,Brier,0.11808108526532655,"{""model__C"": 10.0}",0.10999031024576181,4794,19176
a_mean,3,rf,RF,Random Forest Classifier,Brier,0.11876804413852461,"{""model__max_depth"": 12, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 20}",0.11205314606112872,4794,19176
