experiment,replicate,learner,method,diagnostic,lambda,value,fold_id,details
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.0,2126865.98580635,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.025,2092255.333444625,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.05,2058771.6759989532,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.075,2026414.2446521127,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.1,1995182.2738743997,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.125,1965075.0014239629,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.15,1936091.6683472334,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.175,1908231.5189831336,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.2,1881493.8009627876,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.225,1855877.7652104592,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.25,1831382.6659475593,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.275,1808007.7606926304,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.3,1785752.3102629716,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.325,1764615.5787782194,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.35,1744596.833659595,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.375,1725695.3456333643,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.4,1707910.3887326294,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.425,1691241.2402980682,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.45,1675687.180980822,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.475,1661247.4947434636,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.5,1647921.4688636651,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.525,1635708.3939332329,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.55,1624607.5638630416,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.575,1614618.275883901,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.6,1605739.8305470007,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.625,1597971.5317280223,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.65,1591312.6866291887,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.675,1585762.605780452,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.7,1581320.6030401369,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.725,1577985.9956011917,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.75,1575758.1039889022,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.775,1574636.2520665945,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.8,1574619.7670351001,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.825,1575707.9794365573,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.85,1577900.2231570047,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.875,1581195.8354270514,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.9,1585594.1568248104,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.925,1591094.5312795432,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.95,1597696.3060729154,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,0.975,1605398.8318406255,,
b_lr,0,lin,ppi_plus_plus_v2,lambda_grid,1.0,1614201.462576054,,
